mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,zcr,rmse,spectral_centroid,spectral_bandwidth,spectral_rolloff,spectral_contrast_0,spectral_contrast_1,spectral_contrast_2,spectral_contrast_3,spectral_contrast_4,spectral_contrast_5,spectral_contrast_6,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,mel_0,mel_1,mel_2,mel_3,mel_4,mel_5,mel_6,mel_7,mel_8,mel_9,mel_10,mel_11,mel_12,tonnetz_0,tonnetz_1,tonnetz_2,tonnetz_3,tonnetz_4,tonnetz_5,tempo,label
-20.1245079,72.80297089,18.80389786,19.13799667,16.58722115,3.948949575,1.813073516,6.774617195,-3.250732422,4.490501404,4.192306042,1.353385329,-0.553674817,0.090254621,0.347771168,2691.579126,2964.345065,6446.599313,19.67141206,16.32849712,18.00299548,16.15863731,16.65826344,16.59028588,15.16984308,0.327234179,0.305416852,0.351307303,0.363383442,0.454901814,0.479430884,0.371737003,0.364753813,0.358182102,0.475086778,0.38238138,0.265108764,148.9429016,59.81883621,28.35057259,6.905651569,4.42466259,3.656973362,2.177049637,2.394785881,1.356330037,0.514953494,0.388950229,0.409396023,0.358220518,0.01419106,0.130326206,-0.158621853,0.007478776,-0.04697808,-0.010735951,129.1992188,songs
-181.5347595,96.49100494,27.98165512,14.04168606,6.844780445,3.127336979,0.98101002,2.118604183,-4.238654613,3.719360352,-2.335828781,-0.918424249,-3.261423111,0.067474318,0.092344671,2140.389179,2762.972596,5279.365068,19.11226609,15.65066714,19.82521137,18.74962949,18.2625924,17.74236999,16.23904551,0.256982684,0.223114789,0.298354447,0.232745618,0.251555115,0.350462973,0.303099334,0.445520222,0.329443306,0.445049584,0.383737952,0.227999717,12.86203671,4.908083439,3.31622076,1.802591801,0.345749795,0.247935608,0.108933851,0.073996216,0.046625432,0.023562878,0.014476731,0.014337394,0.009224429,0.020304678,0.126076519,-0.008230391,-0.050913043,0.008255932,-0.002304772,112.3471467,songs
-145.4442444,81.49285889,-1.013012648,22.22748566,8.280105591,3.599628448,-1.061001062,1.488474488,-5.432245731,1.132697582,2.500038624,-1.581935763,-1.892610431,0.105071261,0.096193582,2476.743368,2593.446982,5273.441056,17.93319516,15.28830845,19.2060195,18.55809728,19.01341058,18.87613736,16.86928078,0.337921381,0.351037174,0.356148541,0.329527259,0.424861223,0.264377177,0.255940169,0.335840195,0.387005061,0.519565701,0.34827736,0.384490192,12.39343071,6.012112141,3.498168468,1.590259433,1.147971153,0.903032899,0.526811123,0.404452354,0.254091471,0.093506113,0.058160562,0.034706313,0.022991138,0.167012422,-0.029595904,-0.008361307,0.084513169,-0.00820019,0.008278401,123.046875,songs
-50.52811813,70.88562775,0.180815145,19.28600121,4.860656738,8.775683403,5.524214745,4.410449028,0.77368474,5.84371233,4.926501751,2.416347265,1.706061482,0.134501053,0.145524874,2962.067433,2870.076278,6351.833007,17.7338653,13.73441394,15.90606818,16.17203119,16.90652829,16.84135414,15.71401485,0.388207257,0.452499479,0.486395836,0.648540616,0.452738523,0.444678962,0.399411201,0.446061164,0.438093483,0.446367949,0.569041073,0.427179098,20.81459045,4.896476269,4.503860474,2.824923754,2.774198532,2.502833366,1.249014497,0.864557922,0.698202372,0.395545721,0.216376528,0.14530389,0.095823623,-0.034036314,0.025249629,0.009390181,-0.044317008,0.001443907,0.009740886,151.9990809,songs
-108.5537186,107.7852249,-4.450567722,31.67484474,0.178421319,4.651052952,-4.796854496,1.412341833,-1.316014528,-0.862186313,-6.731969833,-2.483468056,-1.133351803,0.069103389,0.191288412,1784.484141,2140.213245,3795.773589,20.22844642,17.080086,21.88496371,20.86510584,20.60885759,20.07847218,18.31236431,0.270856202,0.352958769,0.240945116,0.369219214,0.291418642,0.275692374,0.288457185,0.251202613,0.344624847,0.23280555,0.228917748,0.284480542,45.08829117,28.347332,23.80335426,7.791221619,3.552945137,2.400624514,1.554210424,0.702924788,0.341472059,0.372760057,0.103388116,0.037840243,0.009869182,-0.113497845,-0.1545052,-0.0283438,0.057655687,-0.012526727,0.002635811,129.1992188,songs
-101.0075378,107.9851608,-3.063539743,17.04196548,10.12887859,-0.337089866,2.381706476,1.316206455,-2.493669987,-0.193913192,-2.00758028,0.872605383,-1.076473355,0.069379994,0.219355434,1762.26676,2159.529319,3599.876788,20.18976783,16.0370593,19.15460303,19.47827807,19.69129213,19.51993016,16.49825813,0.26461342,0.361678362,0.270703912,0.237082288,0.422944605,0.251572669,0.277217835,0.218603402,0.349186599,0.486420363,0.302990198,0.362436652,67.02503967,26.11571121,13.50283527,8.374388695,6.248405933,3.505898237,2.28960824,1.29814887,0.479081571,0.170154348,0.059028048,0.038967766,0.027814317,0.109970552,-0.07980874,-0.125770323,0.018552864,0.007266031,0.009548348,129.1992188,songs
-113.4073334,101.8458252,25.05237389,21.53286743,13.1523819,4.047214508,7.304536819,3.855327845,1.034489632,2.783246517,-1.374842763,2.155838013,5.262004375,0.056931661,0.216569677,1981.135868,2686.002372,4766.386704,21.18296717,16.10860496,20.73222447,20.51764738,19.63271236,19.16464577,16.76786429,0.38815397,0.300412178,0.392485648,0.334556937,0.267463297,0.352684557,0.22127755,0.273458719,0.269129962,0.419857889,0.525373459,0.341381967,62.3349762,15.55327988,5.910101891,3.571671247,1.430886626,0.494399101,0.363155156,0.194694892,0.150924698,0.075629525,0.036280006,0.038538616,0.038851101,-0.13092757,0.124954396,0.004471553,-0.099237539,0.020474794,0.006308521,143.5546875,songs
-136.0839233,81.66576385,8.526483536,12.40863323,8.150875092,4.709972382,1.675742388,1.819619536,-2.652091265,3.495168686,3.509758949,0.773011684,1.081768632,0.07878973,0.156955868,2109.238336,2447.911769,4783.62856,18.0672208,13.97285963,16.99819253,17.26228519,17.92787771,17.0299646,15.64783138,0.33846277,0.35743165,0.481280178,0.351415992,0.457857519,0.41294235,0.330534697,0.367674351,0.365197957,0.514762819,0.359579623,0.295914233,33.35599518,11.99667168,7.857519627,3.327476263,3.218494415,2.676823854,1.115317822,0.580499411,0.345057636,0.187629342,0.120922074,0.097471252,0.076083861,0.091738247,0.079078268,-0.047170501,-0.062840829,-0.009226314,-0.003329067,135.9991776,songs
-123.5691147,87.56373596,8.370668411,17.59794044,12.34645748,1.802373528,4.385539532,-0.990474164,-2.44205761,2.520192146,-2.324323654,-2.376186848,1.136064291,0.06248025,0.20798485,1883.299415,2391.502031,4277.815251,20.96366902,17.69508773,21.07656921,19.87488938,19.7555282,20.08190314,17.12758124,0.205700904,0.29618603,0.177678213,0.211839482,0.266083896,0.267942727,0.439962924,0.272496104,0.307959855,0.295904636,0.258089125,0.255641878,69.50550079,23.11329079,9.483468056,3.853199482,3.005913734,2.131085157,0.928978503,0.5740816,0.353218406,0.192053154,0.047459234,0.04210899,0.036621958,0.00550445,-0.234122094,-0.045613098,-0.063774718,-0.000540493,0.044402546,172.265625,songs
-135.3478546,108.7917023,0.619324386,21.31980133,13.21117783,-6.275224686,-0.323262125,-7.6062994,-10.5462389,-4.790849209,-9.167420387,-7.710542679,-2.84006834,0.063356914,0.184548602,1673.95515,2146.604704,3374.596409,19.64296731,18.63957146,23.03776555,21.58684866,21.69532182,21.16387161,16.64446591,0.252256423,0.423834652,0.207476363,0.285750419,0.229220673,0.143007845,0.211287245,0.25957647,0.537996292,0.245818108,0.141724616,0.164577231,62.05634308,33.23436737,7.485061646,3.328665257,3.176486492,1.88629353,1.537754655,1.213300109,0.551278293,0.182483479,0.025277385,0.025631549,0.01577073,-0.165169982,-0.228900317,-0.072948011,0.135651022,-0.006318855,0.005577765,123.046875,songs
